run,nr,colony,petridish,treatment,sample_type,conc,fluorescence_week1,fluorescence_week2,well,row,column,plate
2,14,C34,3.2,low,ant,NA,10504.25,NA,C9,C,9,2.3
2,15,C34,3.2,low,ant,NA,16173.75,NA,D9,D,9,2.3
2,16,C34,3.2,low,ant,NA,22469.25,NA,E9,E,9,2.3
2,17,C34,3.2,low,ant,NA,11211.5,NA,F9,F,9,2.3
2,18,C34,3.2,low,ant,NA,24478,NA,G9,G,9,2.3
2,19,C34,3.2,low,ant,NA,14174,NA,H9,H,9,2.3
2,20,C34,3.2,low,ant,NA,823.75,NA,A10,A,10,2.3
2,21,C34,3.2,low,ant,NA,10581.75,NA,B10,B,10,2.3
2,22,C34,3.2,low,ant,NA,1674.25,NA,C10,C,10,2.3
2,23,C34,3.2,low,ant,NA,11797.5,NA,D10,D,10,2.3
2,1,C34,3.3,mid,ant,NA,4582.75,NA,E10,E,10,2.3
2,2,C34,3.3,mid,ant,NA,390,NA,F10,F,10,2.3
2,3,C34,3.3,mid,ant,NA,8064,NA,G10,G,10,2.3
2,4,C34,3.3,mid,ant,NA,5449.5,NA,H10,H,10,2.3
2,5,C34,3.3,mid,ant,NA,5449.5,NA,A11,A,11,2.3
2,6,C34,3.3,mid,ant,NA,5050.25,NA,B11,B,11,2.3
2,7,C34,3.3,mid,ant,NA,5766.75,NA,C11,C,11,2.3
2,8,C34,3.3,mid,ant,NA,6026.5,NA,D11,D,11,2.3
2,9,C34,3.3,mid,ant,NA,8388.5,NA,E11,E,11,2.3
2,10,C34,3.3,mid,ant,NA,13349.5,NA,F11,F,11,2.3
2,11,C34,3.3,mid,ant,NA,6583,NA,G11,G,11,2.3
2,12,C34,3.3,mid,ant,NA,6322.5,NA,H11,H,11,2.3
2,13,C34,3.3,mid,ant,NA,20757,NA,A12,A,12,2.3
2,14,C34,3.3,mid,ant,NA,659.5,NA,B12,B,12,2.3
2,15,C34,3.3,mid,ant,NA,3726.75,NA,C12,C,12,2.3
2,16,C34,3.3,mid,ant,NA,4054,NA,D12,D,12,2.3
2,17,C34,3.3,mid,ant,NA,23462.75,NA,E12,E,12,2.3
2,18,C34,3.3,mid,ant,NA,5203.25,NA,F12,F,12,2.3
2,19,C34,3.3,mid,ant,NA,7039,NA,G12,G,12,2.3
2,20,C34,3.3,mid,ant,NA,6254.25,NA,H12,H,12,2.3
2,21,C34,3.3,mid,ant,NA,19496.75,NA,A1,A,1,2.4
2,22,C34,3.3,mid,ant,NA,6242.5,NA,B1,B,1,2.4
2,23,C34,3.3,mid,ant,NA,8021.25,NA,C1,C,1,2.4
2,24,C34,3.3,mid,ant,NA,19575.25,NA,D1,D,1,2.4
2,25,C34,3.3,mid,ant,NA,12557.5,NA,E1,E,1,2.4
2,1,C34,3.4,mid,ant,NA,1735.25,NA,F1,F,1,2.4
2,2,C34,3.4,mid,ant,NA,10565.5,NA,G1,G,1,2.4
2,3,C34,3.4,mid,ant,NA,985.25,NA,H1,H,1,2.4
2,4,C34,3.4,mid,ant,NA,5823.5,NA,A2,A,2,2.4
2,5,C34,3.4,mid,ant,NA,3268,NA,B2,B,2,2.4
2,6,C34,3.4,mid,ant,NA,944.5,NA,C2,C,2,2.4
2,7,C34,3.4,mid,ant,NA,2869,NA,D2,D,2,2.4
2,8,C34,3.4,mid,ant,NA,548,NA,E2,E,2,2.4
2,9,C34,3.4,mid,ant,NA,3672.25,NA,F2,F,2,2.4
2,10,C34,3.4,mid,ant,NA,1254,NA,G2,G,2,2.4
2,11,C34,3.4,mid,ant,NA,969.5,NA,H2,H,2,2.4
2,12,C34,3.4,mid,ant,NA,3295.25,NA,A3,A,3,2.4
2,13,C34,3.4,mid,ant,NA,2872,NA,B3,B,3,2.4
2,14,C34,3.4,mid,ant,NA,2060.25,NA,C3,C,3,2.4
2,15,C34,3.4,mid,ant,NA,690.5,NA,D3,D,3,2.4
2,16,C34,3.4,mid,ant,NA,2121.5,NA,E3,E,3,2.4
2,17,C34,3.4,mid,ant,NA,1066.5,NA,F3,F,3,2.4
2,18,C34,3.4,mid,ant,NA,3132.5,NA,G3,G,3,2.4
2,19,C34,3.4,mid,ant,NA,2758.25,NA,H3,H,3,2.4
2,20,C34,3.4,mid,ant,NA,296.75,NA,A4,A,4,2.4
2,21,C34,3.4,mid,ant,NA,6360.5,NA,B4,B,4,2.4
2,22,C34,3.4,mid,ant,NA,408.5,NA,C4,C,4,2.4
2,1,C34,3.5,high,ant,NA,4474.75,NA,D4,D,4,2.4
2,2,C34,3.5,high,ant,NA,874.75,NA,E4,E,4,2.4
2,3,C34,3.5,high,ant,NA,7170.5,NA,F4,F,4,2.4
2,4,C34,3.5,high,ant,NA,4980,NA,G4,G,4,2.4
2,5,C34,3.5,high,ant,NA,5105.75,NA,H4,H,4,2.4
2,6,C34,3.5,high,ant,NA,19325.75,NA,A5,A,5,2.4
2,7,C34,3.5,high,ant,NA,2974,NA,B5,B,5,2.4
2,8,C34,3.5,high,ant,NA,4124,NA,C5,C,5,2.4
2,9,C34,3.5,high,ant,NA,5117.5,NA,D5,D,5,2.4
2,10,C34,3.5,high,ant,NA,502.25,NA,E5,E,5,2.4
2,11,C34,3.5,high,ant,NA,1588.75,NA,F5,F,5,2.4
2,12,C34,3.5,high,ant,NA,772.25,NA,G5,G,5,2.4
2,13,C34,3.5,high,ant,NA,9840.25,NA,H5,H,5,2.4
2,14,C34,3.5,high,ant,NA,3118.75,NA,A6,A,6,2.4
2,15,C34,3.5,high,ant,NA,2473.25,NA,B6,B,6,2.4
2,16,C34,3.5,high,ant,NA,4205,NA,C6,C,6,2.4
2,17,C34,3.5,high,ant,NA,819.75,NA,D6,D,6,2.4
2,18,C34,3.5,high,ant,NA,280.25,NA,E6,E,6,2.4
2,19,C34,3.5,high,ant,NA,7522.5,NA,F6,F,6,2.4
2,1,C43,3.6,control,ant,NA,12619,NA,G6,G,6,2.4
2,2,C43,3.6,control,ant,NA,651.25,NA,H6,H,6,2.4
2,3,C43,3.6,control,ant,NA,7673.75,NA,A7,A,7,2.4
2,4,C43,3.6,control,ant,NA,12654.25,NA,B7,B,7,2.4
2,5,C43,3.6,control,ant,NA,14646,NA,C7,C,7,2.4
2,6,C43,3.6,control,ant,NA,6679,NA,D7,D,7,2.4
2,7,C43,3.6,control,ant,NA,965.5,NA,E7,E,7,2.4
2,8,C43,3.6,control,ant,NA,33088.25,NA,F7,F,7,2.4
2,9,C43,3.6,control,ant,NA,385,NA,G7,G,7,2.4
2,10,C43,3.6,control,ant,NA,8946.75,NA,H7,H,7,2.4
2,11,C43,3.6,control,ant,NA,254.5,NA,A8,A,8,2.4
2,12,C43,3.6,control,ant,NA,565,NA,B8,B,8,2.4
2,13,C43,3.6,control,ant,NA,10394,NA,C8,C,8,2.4
2,14,C43,3.6,control,ant,NA,14612.5,NA,D8,D,8,2.4
2,15,C43,3.6,control,ant,NA,27637.5,NA,E8,E,8,2.4
2,16,C43,3.6,control,ant,NA,280.5,NA,F8,F,8,2.4
2,1,C43,3.7,low,ant,NA,789.5,NA,G8,G,8,2.4
2,2,C43,3.7,low,ant,NA,280.25,NA,H8,H,8,2.4
2,3,C43,3.7,low,ant,NA,13967.25,NA,A9,A,9,2.4
2,4,C43,3.7,low,ant,NA,351.75,NA,B9,B,9,2.4
2,5,C43,3.7,low,ant,NA,15992,NA,C9,C,9,2.4
2,6,C43,3.7,low,ant,NA,9992,NA,D9,D,9,2.4
2,7,C43,3.7,low,ant,NA,15966,NA,E9,E,9,2.4
2,8,C43,3.7,low,ant,NA,12124.5,NA,F9,F,9,2.4
2,9,C43,3.7,low,ant,NA,8135.75,NA,G9,G,9,2.4
2,10,C43,3.7,low,ant,NA,20105.75,NA,H9,H,9,2.4
2,11,C43,3.7,low,ant,NA,640.25,NA,A10,A,10,2.4
2,12,C43,3.7,low,ant,NA,6961,NA,B10,B,10,2.4
2,13,C43,3.7,low,ant,NA,19001.75,NA,C10,C,10,2.4
2,14,C43,3.7,low,ant,NA,3945.5,NA,D10,D,10,2.4
2,15,C43,3.7,low,ant,NA,1648.75,NA,E10,E,10,2.4
2,16,C43,3.7,low,ant,NA,17240,NA,F10,F,10,2.4
2,17,C43,3.7,low,ant,NA,14724.5,NA,G10,G,10,2.4
2,1,C43,3.8,mid,ant,NA,7481,NA,H10,H,10,2.4
2,2,C43,3.8,mid,ant,NA,9074.25,NA,A11,A,11,2.4
2,3,C43,3.8,mid,ant,NA,6017.25,NA,B11,B,11,2.4
2,4,C43,3.8,mid,ant,NA,6769.25,NA,C11,C,11,2.4
2,5,C43,3.8,mid,ant,NA,13465.5,NA,D11,D,11,2.4
2,6,C43,3.8,mid,ant,NA,7054,NA,E11,E,11,2.4
2,7,C43,3.8,mid,ant,NA,7772.75,NA,F11,F,11,2.4
2,8,C43,3.8,mid,ant,NA,8155.75,NA,G11,G,11,2.4
2,9,C43,3.8,mid,ant,NA,807.25,NA,H11,H,11,2.4
2,10,C43,3.8,mid,ant,NA,7891.5,NA,A12,A,12,2.4
2,11,C43,3.8,mid,ant,NA,4944.5,NA,B12,B,12,2.4
2,12,C43,3.8,mid,ant,NA,7482.25,NA,C12,C,12,2.4
2,13,C43,3.8,mid,ant,NA,18112.75,NA,D12,D,12,2.4
2,14,C43,3.8,mid,ant,NA,9611.75,NA,E12,E,12,2.4
2,15,C43,3.8,mid,ant,NA,3823,NA,F12,F,12,2.4
2,16,C43,3.8,mid,ant,NA,903.75,NA,G12,G,12,2.4
2,17,C43,3.8,mid,ant,NA,4535,NA,H12,H,12,2.4
2,1,C43,3.9,mid,ant,NA,12511.75,NA,A1,A,1,2.5
2,2,C43,3.9,mid,ant,NA,6255.5,NA,B1,B,1,2.5
2,3,C43,3.9,mid,ant,NA,3700.75,NA,C1,C,1,2.5
2,4,C43,3.9,mid,ant,NA,11122.25,NA,D1,D,1,2.5
2,5,C43,3.9,mid,ant,NA,12820.5,NA,E1,E,1,2.5
2,6,C43,3.9,mid,ant,NA,8137,NA,F1,F,1,2.5
2,7,C43,3.9,mid,ant,NA,1301,NA,G1,G,1,2.5
2,8,C43,3.9,mid,ant,NA,9935.5,NA,H1,H,1,2.5
2,9,C43,3.9,mid,ant,NA,4015.5,NA,A2,A,2,2.5
2,10,C43,3.9,mid,ant,NA,853.5,NA,B2,B,2,2.5
2,11,C43,3.9,mid,ant,NA,17816.5,NA,C2,C,2,2.5
2,12,C43,3.9,mid,ant,NA,2644.5,NA,D2,D,2,2.5
2,13,C43,3.9,mid,ant,NA,6373.75,NA,E2,E,2,2.5
2,1,C43,4,high,ant,NA,2227,NA,F2,F,2,2.5
2,2,C43,4,high,ant,NA,7142,NA,G2,G,2,2.5
2,3,C43,4,high,ant,NA,5550.5,NA,H2,H,2,2.5
2,4,C43,4,high,ant,NA,6455,NA,A3,A,3,2.5
2,5,C43,4,high,ant,NA,2972.75,NA,B3,B,3,2.5
2,6,C43,4,high,ant,NA,5816.5,NA,C3,C,3,2.5
2,7,C43,4,high,ant,NA,4190,NA,D3,D,3,2.5
2,8,C43,4,high,ant,NA,714.25,NA,E3,E,3,2.5
2,9,C43,4,high,ant,NA,820,NA,F3,F,3,2.5
2,10,C43,4,high,ant,NA,3080.25,NA,G3,G,3,2.5
2,11,C43,4,high,ant,NA,1818.5,NA,H3,H,3,2.5
2,12,C43,4,high,ant,NA,2982.5,NA,A4,A,4,2.5
2,13,C43,4,high,ant,NA,4510.25,NA,B4,B,4,2.5
2,14,C43,4,high,ant,NA,4443.75,NA,C4,C,4,2.5
2,1,C39,4.1,control,ant,NA,856.5,NA,D4,D,4,2.5
2,2,C39,4.1,control,ant,NA,5942.25,NA,E4,E,4,2.5
2,3,C39,4.1,control,ant,NA,7317,NA,F4,F,4,2.5
2,4,C39,4.1,control,ant,NA,1873.25,NA,G4,G,4,2.5
2,5,C39,4.1,control,ant,NA,4763.25,NA,H4,H,4,2.5
2,6,C39,4.1,control,ant,NA,772,NA,A5,A,5,2.5
2,7,C39,4.1,control,ant,NA,11978.75,NA,B5,B,5,2.5
2,8,C39,4.1,control,ant,NA,9783.5,NA,C5,C,5,2.5
2,9,C39,4.1,control,ant,NA,7268.75,NA,D5,D,5,2.5
2,10,C39,4.1,control,ant,NA,746.75,NA,E5,E,5,2.5
2,11,C39,4.1,control,ant,NA,6400.75,NA,F5,F,5,2.5
2,12,C39,4.1,control,ant,NA,7626.5,NA,G5,G,5,2.5
2,13,C39,4.1,control,ant,NA,23293.25,NA,H5,H,5,2.5
2,14,C39,4.1,control,ant,NA,4458.5,NA,A6,A,6,2.5
2,15,C39,4.1,control,ant,NA,4394.75,NA,B6,B,6,2.5
2,16,C39,4.1,control,ant,NA,5532.25,NA,C6,C,6,2.5
2,17,C39,4.1,control,ant,NA,324.25,NA,D6,D,6,2.5
2,18,C39,4.1,control,ant,NA,1018,NA,E6,E,6,2.5
2,19,C39,4.1,control,ant,NA,701.25,NA,F6,F,6,2.5
2,20,C39,4.1,control,ant,NA,8378,NA,G6,G,6,2.5
2,21,C39,4.1,control,ant,NA,10829.75,NA,H6,H,6,2.5
2,22,C39,4.1,control,ant,NA,17914.25,NA,A7,A,7,2.5
2,23,C39,4.1,control,ant,NA,21282.25,NA,B7,B,7,2.5
2,24,C39,4.1,control,ant,NA,12283.25,NA,C7,C,7,2.5
2,25,C39,4.1,control,ant,NA,14580.5,NA,D7,D,7,2.5
2,26,C39,4.1,control,ant,NA,13306.75,NA,E7,E,7,2.5
2,27,C39,4.1,control,ant,NA,9921,NA,F7,F,7,2.5
2,28,C39,4.1,control,ant,NA,18124.25,NA,G7,G,7,2.5
2,1,C39,4.2,low,ant,NA,5835.25,NA,H7,H,7,2.5
2,2,C39,4.2,low,ant,NA,16101,NA,A8,A,8,2.5
2,3,C39,4.2,low,ant,NA,496.5,NA,B8,B,8,2.5
2,4,C39,4.2,low,ant,NA,17472.25,NA,C8,C,8,2.5
2,5,C39,4.2,low,ant,NA,5623.75,NA,D8,D,8,2.5
2,6,C39,4.2,low,ant,NA,706,NA,E8,E,8,2.5
2,7,C39,4.2,low,ant,NA,9913.5,NA,F8,F,8,2.5
2,8,C39,4.2,low,ant,NA,7320.25,NA,G8,G,8,2.5
2,9,C39,4.2,low,ant,NA,5930,NA,H8,H,8,2.5
2,10,C39,4.2,low,ant,NA,758.75,NA,A9,A,9,2.5
2,11,C39,4.2,low,ant,NA,21178.5,NA,B9,B,9,2.5
2,12,C39,4.2,low,ant,NA,6084.5,NA,C9,C,9,2.5
2,13,C39,4.2,low,ant,NA,9348.75,NA,D9,D,9,2.5
2,14,C39,4.2,low,ant,NA,550.5,NA,E9,E,9,2.5
2,15,C39,4.2,low,ant,NA,15803.25,NA,F9,F,9,2.5
2,16,C39,4.2,low,ant,NA,12054,NA,G9,G,9,2.5
2,17,C39,4.2,low,ant,NA,12499.5,NA,H9,H,9,2.5
2,18,C39,4.2,low,ant,NA,9773.25,NA,A10,A,10,2.5
2,19,C39,4.2,low,ant,NA,5515.25,NA,B10,B,10,2.5
2,20,C39,4.2,low,ant,NA,15065.75,NA,C10,C,10,2.5
2,21,C39,4.2,low,ant,NA,11469.25,NA,D10,D,10,2.5
2,22,C39,4.2,low,ant,NA,21328.75,NA,E10,E,10,2.5
2,23,C39,4.2,low,ant,NA,7171,NA,F10,F,10,2.5
2,24,C39,4.2,low,ant,NA,900,NA,G10,G,10,2.5
2,25,C39,4.2,low,ant,NA,13740.25,NA,H10,H,10,2.5
2,26,C39,4.2,low,ant,NA,634.25,NA,A11,A,11,2.5
2,1,C39,4.3,mid,ant,NA,3337,NA,B11,B,11,2.5
2,2,C39,4.3,mid,ant,NA,928.75,NA,C11,C,11,2.5
2,3,C39,4.3,mid,ant,NA,5081,NA,D11,D,11,2.5
2,4,C39,4.3,mid,ant,NA,5070.75,NA,E11,E,11,2.5
2,5,C39,4.3,mid,ant,NA,445.5,NA,F11,F,11,2.5
2,6,C39,4.3,mid,ant,NA,4569.75,NA,G11,G,11,2.5
2,7,C39,4.3,mid,ant,NA,3617.25,NA,H11,H,11,2.5
2,8,C39,4.3,mid,ant,NA,1029.75,NA,A12,A,12,2.5
2,9,C39,4.3,mid,ant,NA,15605,NA,B12,B,12,2.5
2,NA,NA,NA,blank,negative_ant,NA,582,NA,C12,C,12,2.5
2,NA,NA,NA,blank,negative_ant,NA,601.5,NA,D12,D,12,2.5
2,NA,NA,NA,blank,negative_ant,NA,644,NA,E12,E,12,2.5
2,NA,NA,NA,blank,negative_ant,NA,787.5,NA,F12,F,12,2.5
2,NA,NA,NA,blank,blank_pbs,NA,91,NA,G12,G,12,2.5
2,NA,NA,NA,blank,blank_pbs,NA,101.75,NA,H12,H,12,2.5
2,10,C39,4.3,mid,ant,NA,400.75,NA,A1,A,1,2.6
2,11,C39,4.3,mid,ant,NA,5384.25,NA,B1,B,1,2.6
2,12,C39,4.3,mid,ant,NA,643,NA,C1,C,1,2.6
2,13,C39,4.3,mid,ant,NA,483.25,NA,D1,D,1,2.6
2,14,C39,4.3,mid,ant,NA,8747.75,NA,E1,E,1,2.6
2,15,C39,4.3,mid,ant,NA,5243.5,NA,F1,F,1,2.6
2,16,C39,4.3,mid,ant,NA,4381.75,NA,G1,G,1,2.6
2,17,C39,4.3,mid,ant,NA,4097,NA,H1,H,1,2.6
2,18,C39,4.3,mid,ant,NA,936.25,NA,A2,A,2,2.6
2,19,C39,4.3,mid,ant,NA,12861.75,NA,B2,B,2,2.6
2,20,C39,4.3,mid,ant,NA,2612.25,NA,C2,C,2,2.6
2,1,C39,4.4,high,ant,NA,1972.25,NA,D2,D,2,2.6
2,2,C39,4.4,high,ant,NA,1341,NA,E2,E,2,2.6
2,3,C39,4.4,high,ant,NA,4087.75,NA,F2,F,2,2.6
2,4,C39,4.4,high,ant,NA,329,NA,G2,G,2,2.6
2,5,C39,4.4,high,ant,NA,3812,NA,H2,H,2,2.6
2,6,C39,4.4,high,ant,NA,11599.5,NA,A3,A,3,2.6
2,7,C39,4.4,high,ant,NA,6783.25,NA,B3,B,3,2.6
2,8,C39,4.4,high,ant,NA,2050.75,NA,C3,C,3,2.6
2,9,C39,4.4,high,ant,NA,2090.25,NA,D3,D,3,2.6
2,10,C39,4.4,high,ant,NA,6093.5,NA,E3,E,3,2.6
2,11,C39,4.4,high,ant,NA,1100.25,NA,F3,F,3,2.6
2,12,C39,4.4,high,ant,NA,470.5,NA,G3,G,3,2.6
2,13,C39,4.4,high,ant,NA,2664.75,NA,H3,H,3,2.6
2,14,C39,4.4,high,ant,NA,2006.25,NA,A4,A,4,2.6
2,15,C39,4.4,high,ant,NA,1077.75,NA,B4,B,4,2.6
2,16,C39,4.4,high,ant,NA,2110.5,NA,C4,C,4,2.6
2,17,C39,4.4,high,ant,NA,2241.5,NA,D4,D,4,2.6
2,18,C39,4.4,high,ant,NA,2750.25,NA,E4,E,4,2.6
2,19,C39,4.4,high,ant,NA,2222.25,NA,F4,F,4,2.6
2,20,C39,4.4,high,ant,NA,3021.5,NA,G4,G,4,2.6
2,21,C39,4.4,high,ant,NA,394,NA,H4,H,4,2.6
2,22,C39,4.4,high,ant,NA,2617,NA,A5,A,5,2.6
2,23,C39,4.4,high,ant,NA,1723.75,NA,B5,B,5,2.6
2,24,C39,4.4,high,ant,NA,991.5,NA,C5,C,5,2.6
2,25,C39,4.4,high,ant,NA,3974,NA,D5,D,5,2.6
2,26,C39,4.4,high,ant,NA,947,NA,E5,E,5,2.6
2,27,C39,4.4,high,ant,NA,3004.25,NA,F5,F,5,2.6
2,NA,NA,NA,blank,negative_ant,NA,586,NA,G5,G,5,2.6
2,NA,NA,NA,blank,negative_ant,NA,409.25,NA,H5,H,5,2.6
2,NA,NA,NA,blank,negative_ant,NA,590.75,NA,A6,A,6,2.6
2,NA,NA,NA,blank,negative_ant,NA,665.75,NA,B6,B,6,2.6
2,NA,NA,NA,blank,negative_ant,NA,476.25,NA,C6,C,6,2.6
2,NA,NA,NA,blank,negative_ant,NA,739,NA,D6,D,6,2.6
2,NA,NA,NA,blank,blank_pbs,NA,88.5,NA,E6,E,6,2.6
2,NA,NA,NA,blank,blank_pbs,NA,91.75,NA,F6,F,6,2.6
2,NA,NA,NA,blank,blank_pbs,NA,94.5,NA,G6,G,6,2.6
2,NA,NA,NA,blank,blank_pbs,NA,87,NA,H6,H,6,2.6